title,name,excerpt,epoch,Size,price,images,id,idPARENT,permalink,categories,tagsALL,tags,type,visibility,status
ACELGA Verde de Penca Ancha Blanca,Beta vulgaris,HOJA/TALLO,OTO-INV-PRI,80,2000,,,,,Semillas,,,simple,featured,unpublish
ALBAHACA Hoja Ancha,Ocimum basilicum,HOJA/TALLO,INV-PRI-VER,263,2000,,,,,Semillas,,,simple,featured,unpublish
AJI DULCE,,FRUTO,,,2000,,,,,Semillas,,,simple,featured,publish
APIO Común,Apium graveolens,HOJA/TALLO,OTO-INV-PRI,375,2000,,,,,Semillas,,,simple,featured,unpublish
ARVEJA ONWARD,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
BERENJENA ROTONDA BIANCA,,,,,2000,,,,,Semillas,,,simple,featured,publish
BROCOLI CALINARO,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
CALÉNDULA Mix,Calendula officinalis,FLOR,Todo el año,180,2000,,,,,Semillas,,,simple,featured,publish
CEBOLLA CHATA de Italia,,,,,2000,,,,,Semillas,,,simple,featured,publish
CEBOLLA RAMA LARGA Valencianita,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
CENTAUREA Mix,,,,,2000,,,,,Semillas,,,simple,featured,publish
CILANTRO COMUN,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
CHAUCHA DE MATA El Dorado,,,,,2000,,,,,Semillas,,,simple,featured,publish
CHAUCHA DE MATA Caprice,Phaseolus vulgaris,FRUTO,PRI-VER,49,2000,,,,,Semillas,,,simple,featured,publish
CHAUCHA TREPADORA Algarve,Phaseolus vulgaris,FRUTO,PRI-VER,50,2000,,,,,Semillas,,,simple,featured,unpublish
CHAUCHA TREPADORA Balina Rama,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
CHAUCHA TREPADORA Japonesa,Phaseolus vulgaris,FRUTO,PRI-VER,40,2000,,,,,Semillas,,,simple,featured,unpublish
CHAUCHA TREPADORA Redonda Lago Azul,,,,,2000,,,,,Semillas,,,simple,featured,publish
CHIRIVIA Aromata,Pastinaca sativa,RAIZ,OTO-INV-PRI,485,2000,,,,,Semillas,,,simple,featured,unpublish
COL CHINA Arrepollada Granat,Brassica rapa,HOJA/TALLO,VER-OTO-INV,388,2000,,,,,Semillas,,,simple,featured,unpublish
COLIFLOR Tabiro,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
COPETE,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
COSMOS Tricolor,Cosmos bipinnatus,FLOR,PRI-VER,67,2000,,,,,Semillas,,,simple,featured,publish
GIRASOL ORNAMENTAL Ring of Fire,,,,,2000,,,,,Semillas,,,simple,featured,publish
HABAS Común,Vicia faba,FRUTO,OTO-INV,46,2000,,,,,Semillas,,,simple,featured,unpublish
HABAS Experimental,Vicia faba,FRUTO,OTO-INV,40,2000,,,,,Semillas,,,simple,featured,unpublish
HINOJO DE BULBO Perfección,Foeniculum vulgare,HOJA/TALLO,OTO-INV-VER,157,2000,,,,,Semillas,,,simple,featured,unpublish
KALE (col de hoja) Negro de Toscana,Brassica oleracea,HOJA/TALLO,OTO-INV-PRI,180,2000,,,,,Semillas,,,simple,featured,draft
KALE RUSO ROJO,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA ARREPOLLADA Kermit,Lactuca sativa,HOJA/TALLO,Todo el año,200,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA ARREPOLLADA Tarengo,Lactuca sativa,HOJA/TALLO,Todo el año,188,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA BATAVIA MANTECOSA Carmen,Lactuca sativa,HOJA/TALLO,OTO-INV-PRI,188,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA CRESPA Grand Rapids,Lactuca sativa,HOJA/TALLO,OTO-INV-PRI,188,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA HOJA DE ROBLE Flecha Bronceada,Lactuca sativa,HOJA/TALLO,Todo el año,188,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA HOJA DE ROBLE Morada,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA MANTECOSA Maravilla de Verano,Lactuca sativa,HOJA/TALLO,Todo el año,188,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA RIZADA Lollo Rossa,Lactuca sativa,HOJA/TALLO,OTO-INV-PRI,188,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA ROMANA Forellenschluss,Lactuca sativa,HOJA/TALLO,Todo el año,185,2000,,,,,Semillas,,,simple,featured,unpublish
LECHUGA ROMANA Grasse de Morges,Lactuca sativa,HOJA/TALLO,Todo el año,213,2000,,,,,Semillas,,,simple,featured,unpublish
MAIZ DUCE GOLDEN BANTAM,,,,,2000,,,,,Semillas,,,simple,featured,draft
MANZANILLA Común,Chamaemelum nobile,FLOR,Fin de VER-OTO,-,2000,,,,,Semillas,,,simple,featured,unpublish
MELÓN Rocío de Miel Pulpa Verde,Cucumis melo,FRUTO,PRI-VER,15,2000,,,,,Semillas,,,simple,featured,publish
MIZUNA,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
MORRON CALIFORNIA WONDER,,,,,2000,,,,,Semillas,,,simple,featured,publish
MOSTAZA de Hoja Lengua de Dragón,Brassica juncea,HOJA/TALLO,Todo el año,625,2000,,,,,Semillas,,,simple,featured,unpublish
PEPINO DE ENSALADA Bono,Cucumis sativus,FRUTO,PRI-VER,30,2000,,,,,Semillas,,,simple,featured,unpublish
PEREJIL LISO,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
RABANITO Sora,Raphanus sativus,RAIZ,Todo el año,154,2000,,,,,Semillas,,,simple,featured,unpublish
REMOLACHA Chata de Egipto,Beta vulgaris,RAIZ,OTO-INV-PRI,30,2000,,,,,Semillas,,,simple,featured,unpublish
RABANO DAIKON,,,,,2000,,,,,Semillas,,,simple,featured,unpublish
RUCULA Cultivada,Eruca sativa,HOJA/TALLO,OTO-INV-PRI,"1,000",2000,,,,,Semillas,,,simple,featured,unpublish
SANDIA Crimson Sweet,Citrullus Ianatus,FRUTO,PRI-VER,15,2000,,,,,Semillas,,,simple,featured,publish
